name,city,state,location,size_category,type,college_years,college_public_private,acceptance_rate,sat_25th_percentile,sat_50th_percentile,sat_75th_percentile,act_25th_percentile,act_50th_percentile,act_75th_percentile,tuition_in_state,tuition_out_state,room_board,graduation_rate,retention_rate,enrollment,student_faculty_ratio,num_majors,college_board_code,region,popular_majors,median_earnings_10_years,campus_setting,test_optional,gpa_optional,application_deadline_fall,application_fee,average_financial_aid,avg_after_aid,avg_after_aid_costs,percent_receiving_aid,transfer_acceptance_rate,latitude,longitude,housing_available,url,ipeds_id,rating
Central Washington University,,,,Medium,Public,,,0.6,,1100,,,25,,,22000,12000,0.6,0.75,12000,,,,,,,Rural,true,false,2024-01-15,,8000,8000,22000,0.6,,,,,,,50
Centre College,,,,Small,Private,,,0.5,,1300,,,28,,,50000,13000,0.85,0.9,1200,,,,,,,Rural,true,false,2024-01-15,,25000,25000,50000,0.8,,,,,,,57
Chadron State College,,,,Small,Public,,,0.7,,1050,,,21,,,15000,12000,0.57,0.75,2500,,,,,,,Rural,true,false,2024-08-01,,8000,8000,15000,0.6,,,,,,,42
Chaminade University of Honolulu,,,,Small,Private,,,0.5,,1150,,,24,,,30000,14000,0.65,0.75,2000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,30000,0.75,,,,,,,51
Champlain College,,,,Small,Private,,,0.65,,1200,,,25,,,47000,13000,0.68,0.75,2000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,47000,0.75,,,,,,,47
Chapman University,,,,Medium,Private,,,0.35,,1350,,,30,,,59000,15000,0.85,0.88,8000,,,,,,,Suburban,true,false,2024-01-15,,25000,25000,59000,0.75,,,,,,,66
Charles R. Drew University of Medicine and Science,,,,Small,Private,,,0.5,,1100,,,25,,,25000,13000,0.6,0.75,2000,,,,,,,Urban,true,false,2024-01-15,,15000,15000,25000,0.7,,,,,,,51
Charleston Southern University,,,,Small,Private,,,0.6,,1150,,,24,,,20000,12000,0.5,0.7,3000,,,,,,,Suburban,true,false,2024-01-15,,10000,10000,20000,0.7,,,,,,,46
Charter Oak State College,,,,Small,Public,,,0.7,,1100,,,25,,,20000,12000,0.5,0.7,3000,,,,,,,Suburban,true,false,2024-07-01,,8000,8000,20000,0.6,,,,,,,44
Chatham College,,,,Small,Private,,,0.5,,1200,,,25,,,35000,13000,0.7,0.8,1200,,,,,,,Urban,true,false,2024-01-15,,20000,20000,35000,0.75,,,,,,,52
Chestnut Hill College,,,,Small,Private,,,0.5,,1150,,,24,,,35000,13000,0.7,0.8,2000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,35000,0.8,,,,,,,52
Cheyney University of Pennsylvania,,,,Small,Public,,,0.7,,1000,,,20,,,16000,12000,0.5,0.7,1200,,,,,,,Rural,true,false,2024-01-15,,8000,8000,16000,0.6,,,,,,,38
Chicago State University,,,,Medium,Public,,,0.6,,1000,,,20,,,24000,12000,0.5,0.7,6000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,24000,0.6,,,,,,,44
Chowan College,,,,Small,Private,,,0.7,,1050,,,21,,,20000,12000,0.6,0.75,800,,,,,,,Rural,true,false,2024-08-01,,15000,15000,20000,0.8,,,,,,,41
Christendom College,,,,Small,Private,,,0.5,,1250,,,27,,,30000,12000,0.85,0.8,500,,,,,,,Rural,false,false,2024-01-15,,20000,20000,30000,0.8,,,,,,,55
Christian Brothers University,,,,Small,Private,,,0.5,,1150,,,24,,,32000,12000,0.6,0.75,2000,,,,,,,Urban,true,false,2024-01-15,,15000,15000,32000,0.7,,,,,,,50
Christian Heritage College,,,,Small,Private,,,0.5,,1100,,,25,,,20000,12000,0.6,0.7,800,,,,,,,Suburban,true,false,Rolling,,20000,20000,20000,0.7,,,,,,,49
Christopher Newport University,,,,Medium,Public,,,0.6,,1200,,,25,,,30000,13000,0.6,0.8,5000,,,,,,,Suburban,true,false,2024-01-15,,8000,8000,30000,0.6,,,,,,,50
Circleville Bible College,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.7,0.8,500,,,,,,,Rural,true,false,Rolling,,20000,20000,20000,0.75,,,,,,,48
City University,,,,Large,Public,,,0.5,,1250,,,27,,,36000,13000,0.65,0.75,20000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,36000,0.65,,,,,,,55
City University of New York (CUNY) System,,,,Large,Public,,,0.65,,1100,,,25,,,21000,15000,0.55,0.75,270000,,,,,,,Urban,true,false,2024-01-01,,8000,8000,21000,0.65,,,,,,,47
City University of New York Medical School / Sophie Davis School of Biomedical Education,,,,Small,Public,,,0.3,,1350,,,29,,,24000,15000,0.7,0.85,3000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,24000,0.6,,,,,,,63
"City University of New York, Bernard M. Baruch College",,,,Large,Public,,,0.45,,1300,,,28,,,19000,15000,0.65,0.85,19000,,,,,,,Urban,true,false,2024-01-01,,8000,8000,19000,0.6,,,,,,,59
"City University of New York, Brooklyn College",,,,Large,Public,,,0.5,,1200,,,25,,,21000,14000,0.6,0.8,17000,,,,,,,Urban,true,false,2024-01-01,,7000,7000,21000,0.6,,,,,,,54
"City University of New York, City College",,,,Medium,Public,,,0.6,,1200,,,25,,,18000,15000,0.6,0.8,15000,,,,,,,Urban,true,false,2024-01-01,,8000,8000,18000,0.6,,,,,,,51
"City University of New York, College of Staten Island",,,,Medium,Public,,,0.6,,1100,,,25,,,20000,12000,0.6,0.75,12000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,20000,0.6,,,,,,,50
"City University of New York, Graduate School and University Center",,,,Medium,Public,,,0.5,,1300,,,28,,,20000,15000,0.65,0.85,8000,,,,,,,Urban,true,false,2024-01-01,,8000,8000,20000,0.6,,,,,,,57
"City University of New York, Hunter College",,,,Large,Public,,,0.4,,1300,,,28,,,15000,15000,0.65,0.85,23000,,,,,,,Urban,true,false,2024-01-01,,8000,8000,15000,0.6,,,,,,,60
"City University of New York, John Jay College of Criminal Justice",,,,Medium,Public,,,0.5,,1200,,,25,,,15000,15000,0.6,0.8,15000,,,,,,,Urban,true,false,2024-01-01,,8000,8000,15000,0.6,,,,,,,54
"City University of New York, Lehman College",,,,Medium,Public,,,0.6,,1100,,,25,,,20000,13000,0.5,0.7,12000,,,,,,,Urban,true,false,2024-01-01,,8000,8000,20000,0.6,,,,,,,48
"City University of New York, Medgar Evers College",,,,Medium,Public,,,0.6,,1100,,,25,,,21000,12000,0.5,0.7,6000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,21000,0.6,,,,,,,48
"City University of New York, New York City Technical College",,,,Medium,Public,,,0.65,,1100,,,25,,,21000,12000,0.55,0.75,12000,,,,,,,Urban,true,false,2024-06-01,,8000,8000,21000,0.65,,,,,,,48
"City University of New York, Queens College",,,,Large,Public,,,0.5,,1200,,,25,,,22000,14000,0.6,0.8,19000,,,,,,,Urban,true,false,2024-01-01,,8000,8000,22000,0.6,,,,,,,54
"City University of New York, School of Law at Queens College",,,,Medium,Public,,,0.5,,1300,,,28,,,45000,12000,0.7,0.85,5000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,45000,0.6,,,,,,,58
"City University of New York, York College",,,,Medium,Public,,,0.6,,1100,,,25,,,21000,12000,0.55,0.75,8000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,21000,0.6,,,,,,,49
Claflin College,,,,Small,Private,,,0.6,,1100,,,24,,,15000,12000,0.6,0.7,2000,,,,,,,Rural,true,false,2024-01-15,,15000,15000,15000,0.7,,,,,,,46
Claremont Graduate University,,,,Small,Private,,,0.3,,1350,,,30,,,50000,15000,0.85,0.9,2000,,,,,,,Suburban,true,false,2024-01-15,,25000,25000,50000,0.8,,,,,,,65
Claremont Lincoln University,,,,Small,Private,,,0.5,,1200,,,25,,,20000,12000,0.7,0.8,500,,,,,,,Suburban,true,false,Rolling,,15000,15000,20000,0.75,,,,,,,51
Claremont McKenna College,,,,Small,Private,,,0.1,,1450,,,32,,,59000,15000,0.9,0.95,1300,,,,,,,Suburban,true,false,2024-01-01,,25000,25000,59000,0.8,,,,,,,76
Clarion University,,,,Medium,Public,,,0.6,,1100,,,25,,,24000,12000,0.6,0.7,5000,,,,,,,Rural,true,false,2024-01-15,,8000,8000,24000,0.6,,,,,,,49
Clark Atlanta University,,,,Small,Private,,,0.6,,1100,,,25,,,25000,12000,0.6,0.7,3500,,,,,,,Urban,true,false,2024-01-15,,15000,15000,25000,0.7,,,,,,,48
Clark University,,,,Small,Private,,,0.35,,1300,,,28,,,53000,15000,0.78,0.85,3500,,,,,,,Urban,true,false,2024-01-01,,25000,25000,53000,0.85,,,,,,,62
Clarke College,,,,Small,Private,,,0.5,,1100,,,25,,,30000,12000,0.65,0.75,1000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,30000,0.7,,,,,,,50
Clarkson College,,,,Small,Private,,,0.5,,1200,,,25,,,20000,12000,0.7,0.8,1000,,,,,,,Urban,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,52
Clarkson University,,,,Small,Private,,,0.6,,1300,,,28,,,50000,13000,0.7,0.85,4000,,,,,,,Rural,true,false,2024-01-15,,15000,15000,50000,0.7,,,,,,,53
Clayton College & State University,,,,Medium,Public,,,0.6,,1100,,,25,,,18000,12000,0.5,0.7,7000,,,,,,,Suburban,true,false,2024-01-01,,8000,8000,18000,0.6,,,,,,,48
Clearwater Christian College,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.7,0.75,800,,,,,,,Suburban,true,false,2024-01-01,,20000,20000,20000,0.8,,,,,,,48
Cleary College,,,,Small,Private For-Profit,,,0.7,,1100,,,25,,,15000,12000,0.6,0.7,500,,,,,,,Suburban,true,false,Rolling,,8000,8000,15000,0.6,,,,,,,43
Clemson University,,,,Large,Public,,,0.5,,1350,,,30,,,35000,12000,0.8,0.9,23000,,,,,,,Suburban,true,false,2024-01-15,,8000,8000,35000,0.6,,,,,,,61
"Cleveland Chiropractic College, Kansas City",,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.7,0.8,1000,,,,,,,Urban,true,false,Rolling,,15000,15000,20000,0.7,,,,,,,49
"Cleveland Chiropractic College, Los Angeles",,,,Small,Private For-Profit,,,0.6,,1100,,,25,,,20000,12000,0.7,0.8,800,,,,,,,Urban,true,false,Rolling,,15000,15000,20000,0.7,,,,,,,48
Cleveland Institute of Art,,,,Small,Private,,,0.5,,1200,,,25,,,40000,13000,0.7,0.8,600,,,,,,,Urban,true,false,2024-01-15,,20000,20000,40000,0.75,,,,,,,51
Cleveland Institute of Music,,,,Small,Private,,,0.2,,1350,,,30,,,50000,12000,0.85,0.9,600,,,,,,,Urban,true,false,2024-01-15,,20000,20000,50000,0.7,,,,,,,67
Cleveland State University,,,,Medium,Public,,,0.6,,1100,,,25,,,22000,13000,0.54,0.75,15000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,22000,0.6,,,,,,,50
Coastal Carolina University,,,,Medium,Public,,,0.6,,1150,,,24,,,30000,12000,0.6,0.75,10000,,,,,,,Suburban,true,false,2024-01-15,,8000,8000,30000,0.6,,,,,,,50
Coe College,,,,Small,Private,,,0.5,,1200,,,25,,,40000,12000,0.7,0.8,1200,,,,,,,Urban,true,false,2024-01-15,,20000,20000,40000,0.7,,,,,,,52
Cogswell Polytechnical College,,,,Small,Private For-Profit,,,0.5,,1200,,,25,,,25000,12000,0.6,0.7,500,,,,,,,Suburban,true,false,Rolling,,15000,15000,25000,0.7,,,,,,,49
Coker College,,,,Small,Private,,,0.5,,1100,,,25,,,20000,12000,0.6,0.7,1000,,,,,,,Rural,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,49
Colby College,,,,Small,Private,,,0.15,,1430,,,32,,,60000,15000,0.88,0.93,2000,,,,,,,Rural,true,false,2024-01-15,,25000,25000,60000,0.85,,,,,,,77
Colby-Sawyer College,,,,Small,Private,,,0.5,,1150,,,24,,,45000,13000,0.7,0.8,1000,,,,,,,Rural,true,false,2024-01-15,,20000,20000,45000,0.8,,,,,,,51
Coleman College,,,,Small,Private For-Profit,,,0.7,,1100,,,25,,,20000,12000,0.6,0.75,500,,,,,,,Urban,true,false,Rolling,,10000,10000,20000,0.6,,,,,,,43
Colgate University,,,,Small,Private,,,0.2,,1450,,,32,,,60000,15000,0.9,0.95,2900,,,,,,,Rural,true,false,2024-01-15,,25000,25000,60000,0.8,,,,,,,72
College for Creative Studies,,,,Small,Private,,,0.5,,1200,,,25,,,50000,13000,0.7,0.8,1200,,,,,,,Urban,true,false,2024-01-15,,20000,20000,50000,0.7,,,,,,,52
College for Financial Planning,,,,Small,Private For-Profit,,,0.7,,1100,,,25,,,20000,12000,0.6,0.7,1000,,,,,,,Urban,true,false,Rolling,,10000,10000,20000,0.7,,,,,,,43
College for Lifelong Learning,,,,Medium,Private,,,0.5,,1200,,,25,,,20000,12000,0.7,0.8,5000,,,,,,,Suburban,true,false,2024-01-01,,15000,15000,20000,0.7,,,,,,,55
College Misericordia,,,,Small,Private,,,0.5,,1100,,,24,,,32000,13000,0.65,0.75,1500,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,32000,0.7,,,,,,,50
College of Aeronautics,,,,Small,Private For-Profit,,,0.6,,1150,,,24,,,15000,12000,0.6,0.7,1200,,,,,,,Urban,true,false,2024-01-15,,10000,10000,15000,0.7,,,,,,,46
College of Charleston,,,,Medium,Public,,,0.6,,1230,,,26,,,36000,13000,0.6,0.8,10000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,36000,0.6,,,,,,,52
College of DuPage,,,,Large,Public,,,0.7,,1100,,,25,,,20000,12000,0.5,0.7,25000,,,,,,,Suburban,true,false,Rolling,,7000,7000,20000,0.6,,,,,,,45
College of Idaho,,,,Small,Private,,,0.5,,1150,,,24,,,30000,12000,0.65,0.75,1000,,,,,,,Suburban,true,false,2024-01-15,,15000,15000,30000,0.7,,,,,,,50
College of Mount St. Joseph,,,,Small,Private,,,0.5,,1100,,,24,,,32000,12000,0.65,0.75,1500,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,32000,0.7,,,,,,,50
College of Mount St. Vincent,,,,Small,Private,,,0.5,,1150,,,24,,,30000,15000,0.7,0.75,1500,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,30000,0.8,,,,,,,51
College of New Rochelle,,,,Small,Private,,,0.5,,1150,,,24,,,30000,12000,0.6,0.75,3000,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,30000,0.8,,,,,,,51
College of Notre Dame,,,,Small,Private,,,0.5,,1200,,,25,,,30000,12000,0.7,0.8,1500,,,,,,,Urban,true,false,2024-01-15,,20000,20000,30000,0.75,,,,,,,52
College of Notre Dame of Maryland,,,,Small,Private,,,0.5,,1150,,,24,,,35000,12000,0.7,0.75,2000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,35000,0.8,,,,,,,51
College of Osteopathic Medicine of the Pacific (Western University of Health Sciences),,,,Small,Private,,,0.4,,1300,,,28,,,50000,15000,0.85,0.9,2000,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,50000,0.7,,,,,,,61
College of St. Benedict and St. John's University,,,,Small,Private,,,0.5,,1250,,,27,,,45000,12000,0.8,0.85,3000,,,,,,,Rural,true,false,2024-01-15,,25000,25000,45000,0.75,,,,,,,57
College of St. Catherine,,,,Small,Private,,,0.5,,1200,,,25,,,40000,13000,0.7,0.8,3000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,40000,0.75,,,,,,,54
College of St. Elizabeth,,,,Small,Private,,,0.5,,1150,,,24,,,30000,12000,0.7,0.75,1200,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,30000,0.8,,,,,,,51
College of St. Joseph,,,,Small,Private,,,0.6,,1100,,,24,,,25000,12000,0.65,0.75,700,,,,,,,Rural,true,false,2024-01-15,,15000,15000,25000,0.8,,,,,,,46
College of St. Mary,,,,Small,Private,,,0.5,,1100,,,25,,,20000,12000,0.6,0.75,1000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,20000,0.8,,,,,,,50
College of St. Rose,,,,Small,Private,,,0.5,,1150,,,24,,,35000,14000,0.65,0.75,3000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,35000,0.8,,,,,,,52
College of St. Scholastica,,,,Small,Private,,,0.6,,1150,,,24,,,38000,12000,0.7,0.8,3000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,38000,0.7,,,,,,,50
College of the Atlantic,,,,Small,Private,,,0.4,,1250,,,27,,,50000,13000,0.75,0.85,350,,,,,,,Rural,true,false,2024-01-15,,20000,20000,50000,0.75,,,,,,,57
College of the Holy Cross,,,,Small,Private,,,0.35,,1380,,,31,,,55000,15000,0.88,0.93,2900,,,,,,,Urban,true,false,2024-01-15,,25000,25000,55000,0.75,,,,,,,66
College of the Ozarks,,,,Small,Private,,,0.5,,1200,,,25,,,20000,12000,0.7,0.8,1500,,,,,,,Rural,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,52
College of Visual Arts,,,,Small,Private,,,0.5,,1150,,,24,,,25000,12000,0.7,0.75,800,,,,,,,Urban,true,false,2024-01-15,,20000,20000,25000,0.8,,,,,,,50
College of William and Mary,,,,Medium,Public,,,0.35,,1400,,,32,,,55000,13000,0.87,0.93,8000,,,,,,,Suburban,true,false,2024-01-01,,10000,10000,55000,0.65,,,,,,,69
"CollegeAmerica, Denver",,,,Small,Private For-Profit,,,0.7,,1100,,,25,,,20000,12000,0.6,0.7,1000,,,,,,,Urban,true,false,Rolling,,10000,10000,20000,0.7,,,,,,,43
"CollegeAmerica, Phoenix",,,,Small,Private For-Profit,,,0.7,,1100,,,25,,,15000,12000,0.6,0.7,1000,,,,,,,Urban,true,false,Rolling,,10000,10000,15000,0.7,,,,,,,43
Colorado Christian University,,,,Medium,Private,,,0.5,,1150,,,24,,,30000,12000,0.65,0.75,6000,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,30000,0.8,,,,,,,53
Colorado College,,,,Small,Private,,,0.15,,1400,,,32,,,60000,15000,0.87,0.93,2000,,,,,,,Urban,true,false,2024-01-15,,25000,25000,60000,0.75,,,,,,,76
Colorado School of Mines,,,,Medium,Public,,,0.5,,1460,,,32,,,40000,15000,0.75,0.9,6000,,,,,,,Suburban,false,false,2024-01-15,,15000,15000,40000,0.7,,,,,,,62
Colorado State University,,,,Large,Public,,,0.7,,1230,,,27,,,35000,13000,0.7,0.85,33000,,,,,,,Suburban,true,false,2024-01-01,,8000,8000,35000,0.6,,,,,,,50
Colorado State University-Pueblo,,,,Small,Public,,,0.6,,1100,,,25,,,20000,12000,0.5,0.7,4000,,,,,,,Urban,true,false,2024-01-01,,8000,8000,20000,0.6,,,,,,,47
Colorado Technical University,,,,Large,Private For-Profit,,,0.7,,1100,,,25,,,15000,12000,0.5,0.7,20000,,,,,,,Suburban,true,false,Rolling,,10000,10000,15000,0.6,,,,,,,45
Columbia College Chicago,,,,Medium,Private,,,0.5,,1150,,,24,,,28000,13000,0.6,0.75,8000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,28000,0.7,,,,,,,52
Columbia College Hollywood,,,,Small,Private For-Profit,,,0.7,,1100,,,25,,,20000,12000,0.6,0.7,800,,,,,,,Urban,true,false,Rolling,,15000,15000,20000,0.75,,,,,,,43
Columbia College of Missouri,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.6,0.7,3000,,,,,,,Urban,true,false,Rolling,,10000,10000,20000,0.7,,,,,,,48
Columbia College South Carolina,,,,Small,Private,,,0.5,,1100,,,24,,,20000,12000,0.6,0.75,1000,,,,,,,Urban,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,49
Columbia Commonwealth University,,,,Medium,Public,,,0.5,,1200,,,25,,,25000,12000,0.6,0.75,8000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,25000,0.6,,,,,,,53
Columbia International University,,,,Small,Private,,,0.5,,1150,,,24,,,22000,12000,0.6,0.75,1200,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,22000,0.8,,,,,,,49
Columbia Southern University,,,,Medium,Private For-Profit,,,0.7,,1050,,,21,,,6000,12000,0.5,0.7,8000,,,,,,,Suburban,true,false,Rolling,,8000,8000,6000,0.6,,,,,,,42
Columbia Union College,,,,Small,Private,,,0.5,,1150,,,24,,,30000,12000,0.7,0.75,1500,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,30000,0.8,,,,,,,51
Columbia University,,,,Large,Private,,,0.04,,1500,,,34,,,65000,15000,0.95,0.98,30000,,,,,,,Urban,true,false,2024-01-01,,20000,20000,65000,0.7,,,,,,,82
Columbus College of Art and Design,,,,Small,Private,,,0.5,,1150,,,24,,,40000,12000,0.6,0.75,1000,,,,,,,Urban,true,false,2024-01-01,,20000,20000,40000,0.7,,,,,,,49
Columbus State University,,,,Medium,Public,,,0.5,,1100,,,24,,,20000,12000,0.55,0.75,8000,,,,,,,Urban,true,false,2024-01-01,,8000,8000,20000,0.6,,,,,,,52
Columbus University,,,,Large,Public,,,0.6,,1200,,,25,,,25000,12000,0.65,0.75,20000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,25000,0.65,,,,,,,51
Community College of Denver,,,,Medium,Public,,,0.7,,1050,,,21,,,12000,12000,0.5,0.7,8000,,,,,,,Urban,true,false,Rolling,,7000,7000,12000,0.6,,,,,,,42
Concord College,,,,Small,Public,,,0.6,,1100,,,25,,,20000,12000,0.6,0.7,2000,,,,,,,Rural,true,false,2024-01-15,,8000,8000,20000,0.6,,,,,,,47
"Concordia College, Ann Arbor",,,,Small,Private,,,0.6,,1150,,,24,,,25000,12000,0.7,0.8,1000,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,25000,0.7,,,,,,,48
"Concordia College, Bronxville",,,,Small,Private,,,0.5,,1200,,,25,,,35000,14000,0.7,0.8,1000,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,35000,0.8,,,,,,,52
"Concordia College, Moorhead",,,,Small,Private,,,0.6,,1200,,,25,,,40000,12000,0.7,0.8,2000,,,,,,,Suburban,true,false,2024-01-15,,25000,25000,40000,0.7,,,,,,,50
"Concordia College, Selma",,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.6,0.7,500,,,,,,,Urban,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,46
"Concordia College, Seward",,,,Small,Private,,,0.5,,1150,,,25,,,32000,12000,0.7,0.8,1000,,,,,,,Rural,true,false,2024-01-15,,20000,20000,32000,0.75,,,,,,,52
"Concordia College, St. Paul",,,,Small,Private,,,0.5,,1150,,,24,,,30000,12000,0.7,0.8,2000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,30000,0.7,,,,,,,52
"Concordia University, Austin",,,,Small,Private,,,0.5,,1150,,,24,,,30000,12000,0.6,0.7,1500,,,,,,,Urban,true,false,2024-01-15,,20000,20000,30000,0.7,,,,,,,49
"Concordia University, Irvine",,,,Small,Private,,,0.5,,1200,,,25,,,35000,14000,0.7,0.8,2000,,,,,,,Suburban,true,false,2024-01-01,,20000,20000,35000,0.7,,,,,,,53
"Concordia University, Mequon",,,,Small,Private,,,0.5,,1150,,,25,,,32000,12000,0.65,0.75,3000,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,32000,0.7,,,,,,,52
"Concordia University, Portland",,,,Small,Private,,,0.5,,1150,,,24,,,30000,12000,0.65,0.75,2000,,,,,,,Urban,true,false,2023-01-15,,20000,20000,30000,0.7,,,,,,,51
"Concordia University, River Forest",,,,Small,Private,,,0.5,,1100,,,25,,,30000,12000,0.65,0.75,1500,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,30000,0.7,,,,,,,51
Connecticut College,,,,Small,Private,,,0.35,,1350,,,30,,,60000,15000,0.85,0.9,1200,,,,,,,Suburban,true,false,2024-01-01,,25000,25000,60000,0.75,,,,,,,63
Converse College,,,,Small,Private,,,0.5,,1100,,,24,,,20000,12000,0.6,0.75,1000,,,,,,,Suburban,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,49
Conway School of Landscape Design,,,,Small,Private,,,0.5,,1200,,,25,,,20000,12000,0.8,0.85,200,,,,,,,Rural,true,false,Rolling,,20000,20000,20000,0.7,,,,,,,53
Coppin State College,,,,Small,Public,,,0.6,,1000,,,20,,,25000,12000,0.5,0.7,3500,,,,,,,Urban,true,false,2024-01-15,,8000,8000,25000,0.6,,,,,,,43
Cornell College,,,,Small,Private,,,0.5,,1200,,,25,,,40000,12000,0.7,0.8,1000,,,,,,,Rural,true,false,2024-01-15,,20000,20000,40000,0.7,,,,,,,52
Cornell University,,,,Large,Private,,,0.1,,1480,,,34,,,60000,15000,0.94,0.97,24000,,,,,,,Rural,true,false,2024-01-02,,20000,20000,60000,0.7,,,,,,,82
Cornish College of the Arts,,,,Small,Private,,,0.5,,1200,,,25,,,30000,12000,0.7,0.8,1000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,30000,0.7,,,,,,,52
Cosmopolitan University,,,,Large,Public,,,0.5,,1200,,,25,,,36000,13000,0.65,0.75,20000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,36000,0.6,,,,,,,54
Covenant College,,,,Small,Private,,,0.5,,1250,,,27,,,30000,12000,0.75,0.85,800,,,,,,,Rural,true,false,2024-01-15,,20000,20000,30000,0.8,,,,,,,54
Cranbrook Academy of Art,,,,Small,Private,,,0.2,,1300,,,28,,,50000,12000,0.85,0.9,300,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,50000,0.8,,,,,,,65
Creighton University,,,,Medium,Private,,,0.5,,1250,,,27,,,46000,13000,0.82,0.87,8000,,,,,,,Urban,true,false,2024-01-15,,25000,25000,46000,0.75,,,,,,,59
Crichton College,,,,Small,Private,,,0.6,,1100,,,25,,,15000,12000,0.6,0.7,800,,,,,,,Urban,true,false,Rolling,,10000,10000,15000,0.7,,,,,,,46
Crown College,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.6,0.7,800,,,,,,,Suburban,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,46
Culver-Stockton College,,,,Small,Private,,,0.6,,1100,,,25,,,30000,12000,0.6,0.7,1000,,,,,,,Rural,true,false,2024-01-15,,15000,15000,30000,0.7,,,,,,,46
Cumberland College,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.6,0.7,1500,,,,,,,Rural,true,false,2024-01-01,,10000,10000,20000,0.7,,,,,,,47
Cumberland University,,,,Small,Private,,,0.6,,1100,,,24,,,20000,12000,0.6,0.7,2000,,,,,,,Suburban,true,false,2024-01-15,,10000,10000,20000,0.7,,,,,,,46
Curry College,,,,Small,Private,,,0.5,,1100,,,25,,,30000,15000,0.65,0.75,1500,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,30000,0.75,,,,,,,51
D'Youville College,,,,Small,Private,,,0.6,,1150,,,24,,,30000,12000,0.65,0.75,2000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,30000,0.75,,,,,,,48
Daemen College,,,,Small,Private,,,0.5,,1150,,,24,,,30000,12000,0.6,0.75,2000,,,,,,,Suburban,true,false,2024-01-15,,15000,15000,30000,0.7,,,,,,,50
Dakota State University,,,,Small,Public,,,0.6,,1100,,,25,,,18000,12000,0.6,0.75,4000,,,,,,,Rural,true,false,2024-08-01,,8000,8000,18000,0.6,,,,,,,49
Dakota Wesleyan University,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.6,0.7,800,,,,,,,Rural,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,46
Dallas Baptist University,,,,Medium,Private,,,0.5,,1150,,,24,,,30000,12000,0.6,0.75,5000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,30000,0.7,,,,,,,52
